Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C301","3.3uF_50V","C_1210_3225Metric",145.650000,-115.600000,180.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",147.900000,-107.100000,0.000000,top
"C303","1uF_25V","C_0402_1005Metric",145.400000,-111.600000,-90.000000,top
"C304","1uF_25V","C_0402_1005Metric",147.900000,-106.100000,0.000000,top
"C305","47uF_10V","C_0805_2012Metric",143.400000,-102.100000,180.000000,top
"C401","0.1uF_100V","C_0402_1005Metric",146.150000,-102.100000,0.000000,top
"C402","22nF_100V","C_0603_1608Metric",157.400000,-96.100000,180.000000,top
"C403","0.1uF_100V","C_0402_1005Metric",154.400000,-95.600000,0.000000,top
"C404","0.1uF_100V","C_0402_1005Metric",158.900000,-102.600000,0.000000,top
"C405","0.47uF_35V","C_0402_1005Metric",160.400000,-98.600000,-90.000000,top
"C406","47uF_10V","C_0805_2012Metric",159.400000,-100.600000,0.000000,top
"C407","0.1uF_100V","C_0402_1005Metric",154.400000,-94.600000,0.000000,top
"C408","2.2uF_100V","C_0805_2012Metric",154.400000,-93.100000,0.000000,top
"C409","100uF_50V","CAP_EEEHAH101UAP",154.400000,-87.600000,0.000000,top
"C410","0.1uF_100V","C_0402_1005Metric",154.400000,-108.600000,0.000000,top
"C411","2.2uF_100V","C_0805_2012Metric",154.400000,-110.100000,0.000000,top
"C412","100uF_50V","CAP_EEEHAH101UAP",154.400000,-115.600000,0.000000,top
"D301","LED_RED","LED_0402-1005_KNB",134.900000,-111.600000,0.000000,top
"D302","2A_200V","D_SMA",146.650000,-87.850000,90.000000,top
"J301","Conn_01x04_P3.5mm_TBH_Horizontal_Screw","PhoenixContact_MC_1,5_4-G-3.5_1x04_P3.50mm_Horizontal_Screw",139.650000,-101.600000,-90.000000,top
"J401","Molex_Pico-SPOX_Horizontal","Molex_Pico-SPOX-87438_1x04-P1.5mm_Horizontal",168.400000,-101.600000,90.000000,top
"M301","Fan_5VDC_25x25x8mm","FAN_5VDC_25x25x8mm",152.400000,-101.600000,0.000000,top
"R301","120","R_0402_1005Metric",158.400000,-104.100000,-90.000000,top
"R302","2.32k","R_0805_2012Metric",137.900000,-111.600000,180.000000,top
"R303","1k","R_0402_1005Metric",136.900000,-91.600000,180.000000,top
"R401","10","R_0402_1005Metric",158.400000,-98.600000,-90.000000,top
"R402","0.12","R_1206_3216Metric",150.400000,-94.100000,180.000000,top
"R403","0.12","R_1206_3216Metric",150.400000,-109.100000,180.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",144.400000,-106.100000,180.000000,top
"U401","TMC5130A-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",152.400000,-101.600000,0.000000,top
"X401","16MHz","Oscillator_SMD_4Pin_5.0x3.2mm",144.900000,-98.100000,90.000000,top
