Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C301","3.3uF_50V","C_1210_3225Metric",146.900000,-113.600000,180.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",147.900000,-107.100000,0.000000,top
"C303","1uF_25V","C_0402_1005Metric",141.400000,-108.100000,-90.000000,top
"C304","1uF_25V","C_0402_1005Metric",147.900000,-106.100000,0.000000,top
"C401","0.1uF_100V","C_0402_1005Metric",145.400000,-101.600000,0.000000,top
"C402","22nF_100V","C_0603_1608Metric",157.900000,-97.600000,180.000000,top
"C403","0.1uF_100V","C_0402_1005Metric",154.400000,-95.600000,0.000000,top
"C404","0.1uF_100V","C_0402_1005Metric",158.900000,-102.600000,0.000000,top
"C405","0.47uF_35V","C_0402_1005Metric",159.400000,-99.600000,-90.000000,top
"C406","2.2uF_35V","C_0402_1005Metric",158.900000,-101.100000,0.000000,top
"C407","0.1uF_100V","C_0402_1005Metric",154.400000,-94.600000,0.000000,top
"C408","2.2uF_100V","C_0805_2012Metric",154.400000,-92.600000,0.000000,top
"C409","100uF_50V","CAP_EEEFTH101XAV",154.400000,-87.600000,0.000000,top
"C410","0.1uF_100V","C_0402_1005Metric",154.400000,-108.600000,0.000000,top
"C411","2.2uF_100V","C_0805_2012Metric",154.400000,-110.600000,0.000000,top
"C412","100uF_50V","CAP_EEEFTH101XAV",154.400000,-115.600000,0.000000,top
"J301","FFC_P1mm_BOT_RA_SMD","CONN_C2914097",139.400000,-101.600000,90.000000,top
"J401","Molex_Pico-SPOX_Horizontal","Molex_Pico-SPOX-87438_1x04-P1.5mm_Horizontal",168.400000,-101.600000,90.000000,top
"M301","Fan_5VDC_25x25x8mm","FAN_5VDC_25x25x8mm",152.400000,-101.600000,0.000000,top
"R301","100","R_0402_1005Metric",158.400000,-104.100000,-90.000000,top
"R401","2.2","R_0402_1005Metric",158.400000,-99.600000,-90.000000,top
"R402","0.12","R_1206_3216Metric",150.400000,-94.100000,180.000000,top
"R403","0.12","R_1206_3216Metric",150.400000,-109.100000,180.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",144.400000,-106.100000,180.000000,top
"U401","TMC5130A-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",152.400000,-101.600000,0.000000,top
"X401","16MHz","OSC_ECS-2520S33-160-FN-TR",145.400000,-99.100000,90.000000,top
