Ref,Val,Package,PosX,PosY,Rot,Side
"C301","3.3uF_50V","C_1210_3225Metric",162.900000,-91.350000,90.000000,top
"C302","0.1uF_100V","C_0402_1005Metric",165.150000,-93.350000,90.000000,top
"C303","1uF_25V","C_0402_1005Metric",169.400000,-91.100000,180.000000,top
"C304","1uF_25V","C_0402_1005Metric",165.150000,-95.600000,-90.000000,top
"C305","47uF_10V","C_0805_2012Metric",163.650000,-96.100000,-90.000000,top
"C306","0.1uF_100V","C_0402_1005Metric",141.900000,-100.350000,90.000000,top
"C307","0.1uF_100V","C_0402_1005Metric",139.650000,-107.600000,180.000000,top
"C308","27pF_50V","C_0402_1005Metric",137.650000,-107.600000,0.000000,top
"C401","0.1uF_100V","C_0402_1005Metric",148.400000,-96.350000,90.000000,top
"C402","22nF_100V","C_0603_1608Metric",157.400000,-96.100000,180.000000,top
"C403","0.1uF_100V","C_0402_1005Metric",154.400000,-95.600000,0.000000,top
"C404","0.1uF_100V","C_0402_1005Metric",148.150000,-106.350000,-90.000000,top
"C405","0.47uF_35V","C_0402_1005Metric",160.650000,-98.350000,-90.000000,top
"C406","47uF_10V","C_0805_2012Metric",159.650000,-100.600000,0.000000,top
"C407","0.1uF_100V","C_0402_1005Metric",154.400000,-94.600000,0.000000,top
"C408","2.2uF_100V","C_0805_2012Metric",154.400000,-93.100000,0.000000,top
"C409","100uF_50V","CAP_EEEHAH101UAP",154.400000,-87.600000,0.000000,top
"C410","0.1uF_100V","C_0402_1005Metric",154.400000,-108.600000,0.000000,top
"C411","2.2uF_100V","C_0805_2012Metric",154.400000,-110.100000,0.000000,top
"C412","100uF_50V","CAP_EEEHAH101UAP",154.400000,-115.600000,0.000000,top
"D301","LED_RED","LED_0402-1005_KNB",135.900000,-94.850000,0.000000,top
"D302","2A_200V","D_SMA",146.650000,-87.850000,90.000000,top
"FL301","Choke_CMF_ACT45B-220-2P","SMD_0-2P-TL003_TDK-L",141.650000,-111.350000,-90.000000,top
"J301","USB_C_Receptacle_USB2.0_16P_GT-USB-7047C","USB_C_Receptacle_GT-USB-7047C_16P_TopMnt_Horizontal",139.400000,-101.600000,-90.000000,top
"J401","Molex_Pico-SPOX_Horizontal","Molex_Pico-SPOX-87438_1x04-P1.5mm_Horizontal",168.400000,-101.600000,90.000000,top
"R301","100","R_0402_1005Metric",141.650000,-107.600000,180.000000,top
"R302","2.32k","R_0805_2012Metric",138.900000,-94.850000,180.000000,top
"R303","1.4k","R_0402_1005Metric",145.650000,-107.600000,180.000000,top
"R304","604","R_0402_1005Metric",143.650000,-107.600000,180.000000,top
"R305","100k","R_0402_1005Metric",146.150000,-101.350000,90.000000,top
"R401","10","R_0402_1005Metric",159.650000,-98.350000,-90.000000,top
"R402","0.12","R_1206_3216Metric",150.400000,-94.100000,180.000000,top
"R403","0.12","R_1206_3216Metric",150.400000,-109.100000,180.000000,top
"TR301","1:1","FB020G00",136.900000,-111.350000,90.000000,top
"U301","TPSM365R6V5RDNR","RDN0011A-MFG",167.900000,-94.600000,0.000000,top
"U302","LTC6820HMS-TRPBF","MS_05-08-1669_ADI",143.150000,-104.100000,-90.000000,top
"U401","TMC5130A-TA","TQFP-48-1EP_7x7mm_P0.5mm_EP5x5mm_ThermalVias",152.400000,-101.600000,0.000000,top
"X401","16MHz","Oscillator_SMD_4Pin_5.0x3.2mm",144.900000,-95.350000,180.000000,top
